You spend,50.00€,You can immediately choose free gifts for:,3.00€,Percentage:,5.00,Rounds to: ,5%
You spend,60.00€,You can immediately choose free gifts for:,3.00€,Percentage:,5.50,Rounds to: ,6%
You spend,70.00€,You can immediately choose free gifts for:,4.00€,Percentage:,6.00,Rounds to: ,6%
You spend,80.00€,You can immediately choose free gifts for:,5.00€,Percentage:,6.50,Rounds to: ,7%
You spend,90.00€,You can immediately choose free gifts for:,6.00€,Percentage:,7.00,Rounds to: ,7%
You spend,100.00€,You can immediately choose free gifts for:,8.00€,Percentage:,7.50,Rounds to: ,8%
You spend,110.00€,You can immediately choose free gifts for:,9.00€,Percentage:,8.00,Rounds to: ,8%
You spend,120.00€,You can immediately choose free gifts for:,10.00€,Percentage:,8.50,Rounds to: ,9%
You spend,130.00€,You can immediately choose free gifts for:,12.00€,Percentage:,9.00,Rounds to: ,9%
You spend,140.00€,You can immediately choose free gifts for:,13.00€,Percentage:,9.50,Rounds to: ,10%
You spend,150.00€,You can immediately choose free gifts for:,15.00€,Percentage:,10.00,Rounds to: ,10%
You spend,160.00€,You can immediately choose free gifts for:,17.00€,Percentage:,10.50,Rounds to: ,11%
You spend,170.00€,You can immediately choose free gifts for:,19.00€,Percentage:,11.00,Rounds to: ,11%
You spend,180.00€,You can immediately choose free gifts for:,21.00€,Percentage:,11.50,Rounds to: ,12%
You spend,190.00€,You can immediately choose free gifts for:,23.00€,Percentage:,12.00,Rounds to: ,12%
You spend,200.00€,You can immediately choose free gifts for:,25.00€,Percentage:,12.50,Rounds to: ,13%
You spend,210.00€,You can immediately choose free gifts for:,27.00€,Percentage:,13.00,Rounds to: ,13%
You spend,220.00€,You can immediately choose free gifts for:,30.00€,Percentage:,13.50,Rounds to: ,14%
You spend,230.00€,You can immediately choose free gifts for:,32.00€,Percentage:,14.00,Rounds to: ,14%
You spend,240.00€,You can immediately choose free gifts for:,35.00€,Percentage:,14.50,Rounds to: ,15%
You spend,250.00€,You can immediately choose free gifts for:,38.00€,Percentage:,15.00,Rounds to: ,15%
You spend,260.00€,You can immediately choose free gifts for:,40.00€,Percentage:,15.50,Rounds to: ,16%
You spend,270.00€,You can immediately choose free gifts for:,43.00€,Percentage:,16.00,Rounds to: ,16%
You spend,280.00€,You can immediately choose free gifts for:,46.00€,Percentage:,16.50,Rounds to: ,17%
You spend,290.00€,You can immediately choose free gifts for:,49.00€,Percentage:,17.00,Rounds to: ,17%
You spend,300.00€,You can immediately choose free gifts for:,53.00€,Percentage:,17.50,Rounds to: ,18%
You spend,320.00€,You can immediately choose free gifts for:,58.00€,Percentage:,18.00,Rounds to: ,18%
You spend,330.00€,You can immediately choose free gifts for:,61.00€,Percentage:,18.50,Rounds to: ,19%
You spend,340.00€,You can immediately choose free gifts for:,65.00€,Percentage:,19.00,Rounds to: ,19%
You spend,350.00€,You can immediately choose free gifts for:,68.00€,Percentage:,19.50,Rounds to: ,20%
You spend,360.00€,You can immediately choose free gifts for:,72.00€,Percentage:,20.00,Rounds to: ,20%
You spend,370.00€,You can immediately choose free gifts for:,76.00€,Percentage:,20.50,Rounds to: ,21%
You spend,380.00€,You can immediately choose free gifts for:,80.00€,Percentage:,21.00,Rounds to: ,21%
You spend,390.00€,You can immediately choose free gifts for:,84.00€,Percentage:,21.50,Rounds to: ,22%
You spend,400.00€,You can immediately choose free gifts for:,88.00€,Percentage:,22.00,Rounds to: ,22%
You spend,410.00€,You can immediately choose free gifts for:,92.00€,Percentage:,22.50,Rounds to: ,23%
You spend,420.00€,You can immediately choose free gifts for:,97.00€,Percentage:,23.00,Rounds to: ,23%
You spend,430.00€,You can immediately choose free gifts for:,101.00€,Percentage:,23.50,Rounds to: ,24%
You spend,440.00€,You can immediately choose free gifts for:,106.00€,Percentage:,24.00,Rounds to: ,24%
You spend,450.00€,You can immediately choose free gifts for:,110.00€,Percentage:,24.50,Rounds to: ,25%
You spend,460.00€,You can immediately choose free gifts for:,115.00€,Percentage:,25.00,Rounds to: ,25%
You spend,470.00€,You can immediately choose free gifts for:,120.00€,Percentage:,25.50,Rounds to: ,26%
You spend,480.00€,You can immediately choose free gifts for:,125.00€,Percentage:,26.00,Rounds to: ,26%
You spend,490.00€,You can immediately choose free gifts for:,130.00€,Percentage:,26.50,Rounds to: ,27%
You spend,500.00€,You can immediately choose free gifts for:,135.00€,Percentage:,27.00,Rounds to: ,27%
You spend,510.00€,You can immediately choose free gifts for:,140.00€,Percentage:,27.50,Rounds to: ,28%
You spend,520.00€,You can immediately choose free gifts for:,146.00€,Percentage:,28.00,Rounds to: ,28%
You spend,530.00€,You can immediately choose free gifts for:,151.00€,Percentage:,28.50,Rounds to: ,29%
You spend,540.00€,You can immediately choose free gifts for:,157.00€,Percentage:,29.00,Rounds to: ,29%
You spend,550.00€,You can immediately choose free gifts for:,162.00€,Percentage:,29.50,Rounds to: ,30%
You spend,560.00€,You can immediately choose free gifts for:,168.00€,Percentage:,30.00,Rounds to: ,30%
You spend,570.00€,You can immediately choose free gifts for:,174.00€,Percentage:,30.50,Rounds to: ,31%
You spend,580.00€,You can immediately choose free gifts for:,180.00€,Percentage:,31.00,Rounds to: ,31%
You spend,590.00€,You can immediately choose free gifts for:,186.00€,Percentage:,31.50,Rounds to: ,32%
You spend,600.00€,You can immediately choose free gifts for:,192.00€,Percentage:,32.00,Rounds to: ,32%
You spend,610.00€,You can immediately choose free gifts for:,198.00€,Percentage:,32.50,Rounds to: ,33%
You spend,620.00€,You can immediately choose free gifts for:,205.00€,Percentage:,33.00,Rounds to: ,33%
